"Step","IQL_CNN_blox_baseline__20241210_210318 - score","IQL_CNN_blox_baseline__20241210_210318 - score__MIN","IQL_CNN_blox_baseline__20241210_210318 - score__MAX"
"110","-37","-37","-37"
"437","-35","-35","-35"
"650","-37","-37","-37"
"821","-37","-37","-37"
"992","-37","-37","-37"
"1161","-37","-37","-37"
"1406","-37","-37","-37"
"1599","-37","-37","-37"
"1864","-37","-37","-37"
"2041","-37","-37","-37"
"2374","-37","-37","-37"
"2575","-37","-37","-37"
"2740","-37","-37","-37"
"2941","-37","-37","-37"
"3548","0","0","0"
"3719","-37","-37","-37"
"3888","-37","-37","-37"
"4297","-37","-37","-37"
"4486","-37","-37","-37"
"4775","-37","-37","-37"
"4940","-37","-37","-37"
"5133","-37","-37","-37"
"5740","0","0","0"
"5949","-37","-37","-37"
"6310","-37","-37","-37"
"6503","-37","-37","-37"
"6684","-37","-37","-37"
"6985","-37","-37","-37"
"7592","2","2","2"
"7781","-37","-37","-37"
"7956","-37","-37","-37"
"8165","-37","-37","-37"
"8338","-37","-37","-37"
"8517","-37","-37","-37"
"8718","-37","-37","-37"
"8955","-37","-37","-37"
"9200","-36","-36","-36"
"9369","-37","-37","-37"
"9540","-37","-37","-37"
"10147","0","0","0"
"10476","-37","-37","-37"
"10793","-37","-37","-37"
"10974","-36","-36","-36"
"11267","-37","-37","-37"
"11536","-36","-36","-36"
"12143","2","2","2"
"12314","-37","-37","-37"
"12483","-37","-37","-37"
"12660","-37","-37","-37"
"13267","0","0","0"
"13452","-37","-37","-37"
"13629","-37","-37","-37"
"13972","-37","-37","-37"
"14267","-37","-37","-37"
"14874","0","0","0"
"15113","-37","-37","-37"
"15286","-37","-37","-37"
"15491","-37","-37","-37"
"16098","0","0","0"
"16301","-37","-37","-37"
"16900","-37","-37","-37"
"17073","-37","-37","-37"
"17248","-37","-37","-37"
"17461","-37","-37","-37"
"17656","-37","-37","-37"
"17827","-37","-37","-37"
"18008","-35","-35","-35"
"18615","0","0","0"
"18992","-37","-37","-37"
"19279","-37","-37","-37"
"19868","-37","-37","-37"
"20045","-37","-37","-37"
"20652","0","0","0"
"20825","-37","-37","-37"
"21020","-37","-37","-37"
"21309","-35","-35","-35"
"21486","-37","-37","-37"
"21687","-37","-37","-37"
"21862","-37","-37","-37"
"22327","-37","-37","-37"
"22504","-37","-37","-37"
"22717","-37","-37","-37"
"22906","-37","-37","-37"
"23077","-37","-37","-37"
"23412","-36","-36","-36"
"23601","-37","-37","-37"
"23938","-37","-37","-37"
"24131","-37","-37","-37"
"24320","-37","-37","-37"
"24927","0","0","0"
"25116","-34","-34","-34"
"25297","-37","-37","-37"
"25474","-37","-37","-37"
"25663","-37","-37","-37"
"25856","-37","-37","-37"
"26185","-37","-37","-37"
"26366","-37","-37","-37"
"26535","-37","-37","-37"
"26734","-37","-37","-37"
"26933","-37","-37","-37"