"Step","IQL_CNN_win__20241210_142411 - score","IQL_CNN_win__20241210_142411 - score__MIN","IQL_CNN_win__20241210_142411 - score__MAX"
"344","0","0","0"
"621","0","0","0"
"1028","1","1","1"
"1435","1","1","1"
"1842","1","1","1"
"2249","1","1","1"
"2656","-2","-2","-2"
"3063","-1","-1","-1"
"3238","2","2","2"
"3645","0","0","0"
"3970","2","2","2"
"4377","0","0","0"
"4660","2","2","2"
"4979","2","2","2"
"5114","2","2","2"
"5341","2","2","2"
"5398","2","2","2"
"5591","2","2","2"
"5864","2","2","2"
"6271","1","1","1"
"6678","0","0","0"
"6813","2","2","2"
"6910","2","2","2"
"7177","2","2","2"
"7266","2","2","2"
"7673","1","1","1"
"8080","1","1","1"
"8349","2","2","2"
"8544","1","1","1"
"8703","2","2","2"
"9110","1","1","1"
"9507","2","2","2"
"9914","1","1","1"
"10321","1","1","1"
"10728","0","0","0"
"10841","2","2","2"
"10914","2","2","2"
"11049","2","2","2"
"11456","0","0","0"
"11687","2","2","2"
"11932","2","2","2"
"12339","1","1","1"
"12746","1","1","1"
"12999","2","2","2"
"13406","1","1","1"
"13813","-1","-1","-1"
"14064","-2","-2","-2"
"14471","1","1","1"
"14606","2","2","2"
"15013","1","1","1"
"15364","2","2","2"
"15447","2","2","2"
"15710","2","2","2"
"15865","2","2","2"
"16010","2","2","2"
"16083","2","2","2"
"16220","2","2","2"
"16627","-1","-1","-1"
"16782","2","2","2"
"16895","2","2","2"
"17302","1","1","1"
"17449","2","2","2"
"17562","2","2","2"
"17823","2","2","2"
"17976","2","2","2"
"18125","2","2","2"
"18532","1","1","1"
"18695","2","2","2"
"19102","1","1","1"
"19357","2","2","2"
"19516","2","2","2"
"19667","2","2","2"
"19798","2","2","2"
"19855","2","2","2"
"20058","2","2","2"
"20127","2","2","2"
"20320","2","2","2"
"20401","2","2","2"
"20572","2","2","2"
"20677","2","2","2"
"20732","2","2","2"
"20837","2","2","2"
"20906","2","2","2"
"20993","2","2","2"
"21094","2","2","2"
"21163","2","2","2"
"21236","2","2","2"
"21365","2","2","2"
"21478","2","2","2"
"21559","2","2","2"
"21782","2","2","2"
"21891","2","2","2"
"22102","-2","-2","-2"
"22223","2","2","2"
"22630","0","0","0"
"22741","2","2","2"
"23068","2","2","2"
"23475","0","0","0"
"23882","-1","-1","-1"
"24025","2","2","2"
"24060","2","2","2"
"24467","1","1","1"
"24560","1","1","1"
"24741","-2","-2","-2"
"24842","2","2","2"
"25043","2","2","2"
"25138","2","2","2"
"25289","2","2","2"
"25622","2","2","2"
"25743","2","2","2"
"25832","2","2","2"
"26107","-2","-2","-2"
"26314","2","2","2"
"26355","2","2","2"
"26468","2","2","2"
"26819","1","1","1"
"27226","0","0","0"
"27387","2","2","2"
"27462","2","2","2"
"27521","2","2","2"
"27584","2","2","2"
"27671","2","2","2"
"27930","1","1","1"
"28337","1","1","1"
"28434","2","2","2"
"28589","2","2","2"
"28632","2","2","2"
"28677","2","2","2"
"28818","2","2","2"
"28893","2","2","2"
"28952","2","2","2"
"29059","2","2","2"
"29188","2","2","2"
"29457","-2","-2","-2"
"29502","2","2","2"
"29551","2","2","2"
"29598","2","2","2"
"29691","2","2","2"
"29812","2","2","2"
"29947","2","2","2"
"30354","1","1","1"
"30417","2","2","2"
"30824","0","0","0"
"30951","2","2","2"
"31260","2","2","2"
"31367","2","2","2"
"31410","2","2","2"
"31505","2","2","2"
"31582","2","2","2"
"31691","2","2","2"
"31832","2","2","2"
"31903","2","2","2"
"31944","2","2","2"
"32021","2","2","2"
"32214","2","2","2"
"32275","2","2","2"
"32346","2","2","2"
"32537","1","1","1"
"32944","1","1","1"
"32999","2","2","2"
"33286","2","2","2"
"33415","2","2","2"
"33504","2","2","2"
"33707","2","2","2"
"33814","2","2","2"
"34017","2","2","2"
"34098","2","2","2"
"34215","2","2","2"
"34338","2","2","2"
"34399","2","2","2"
"34806","1","1","1"
"35213","0","0","0"
"35288","2","2","2"
"35379","2","2","2"
"35554","2","2","2"
"35669","2","2","2"
"35726","2","2","2"
"35811","2","2","2"
"35882","2","2","2"
"36029","2","2","2"
"36124","2","2","2"
"36531","1","1","1"
"36634","2","2","2"
"36723","2","2","2"
"36812","2","2","2"
"36985","2","2","2"
"37048","2","2","2"
"37179","2","2","2"
"37244","2","2","2"
"37469","2","2","2"
"37876","1","1","1"
"38095","1","1","1"
"38234","2","2","2"
"38351","2","2","2"
"38432","2","2","2"
"38599","-2","-2","-2"
"38872","-2","-2","-2"
"39279","1","1","1"
"39532","2","2","2"
"39613","2","2","2"
"39670","2","2","2"
"39711","2","2","2"
"39790","2","2","2"
"40153","2","2","2"
"40182","2","2","2"
"40217","2","2","2"
"40282","2","2","2"
"40345","2","2","2"
"40476","2","2","2"
"40571","2","2","2"
"40648","2","2","2"
"40707","2","2","2"
"40810","2","2","2"
"41003","2","2","2"
"41124","2","2","2"
"41267","2","2","2"
"41324","2","2","2"
"41361","2","2","2"
"41582","2","2","2"
"41751","2","2","2"
"41780","2","2","2"
"41827","2","2","2"
"41946","2","2","2"
"42353","1","1","1"
"42442","2","2","2"
"42547","2","2","2"
"42600","2","2","2"
"42763","2","2","2"
"42828","2","2","2"
"43005","2","2","2"
"43156","2","2","2"
"43221","2","2","2"
"43278","2","2","2"
"43377","2","2","2"
"43408","2","2","2"
"43815","1","1","1"
"43880","2","2","2"
"43937","2","2","2"
"44008","2","2","2"
"44037","2","2","2"
"44110","2","2","2"
"44183","2","2","2"
"44300","2","2","2"
"44397","2","2","2"
"44804","1","1","1"
"44991","2","2","2"
"45168","2","2","2"
"45261","2","2","2"
"45290","2","2","2"
"45435","0","0","0"
"45534","2","2","2"
"45673","2","2","2"
"45718","2","2","2"
"45805","2","2","2"
"45852","2","2","2"
"45891","2","2","2"
"45944","2","2","2"
"45989","2","2","2"
"46080","2","2","2"
"46127","2","2","2"
"46196","2","2","2"
"46287","2","2","2"
"46328","2","2","2"
"46459","2","2","2"
"46494","2","2","2"
"46599","2","2","2"
"46740","2","2","2"
"47039","2","2","2"
"47446","1","1","1"
"47673","2","2","2"
"47932","2","2","2"
"48275","2","2","2"
"48456","2","2","2"
"48521","2","2","2"
"48600","2","2","2"
"48893","2","2","2"
"49104","1","1","1"
"49327","2","2","2"
"49394","2","2","2"
"49575","2","2","2"
"49910","-2","-2","-2"
"50057","2","2","2"
"50464","1","1","1"
"50673","2","2","2"
"51080","1","1","1"
"51195","2","2","2"
"51320","2","2","2"
"51663","2","2","2"
"52070","1","1","1"
"52429","-2","-2","-2"
"52836","0","0","0"
"53177","2","2","2"
"53584","-1","-1","-1"
"53967","-2","-2","-2"
"54374","1","1","1"
"54781","1","1","1"
"55080","0","0","0"
"55305","2","2","2"
"55712","1","1","1"
"55901","2","2","2"
"56092","2","2","2"
"56267","2","2","2"
"56674","1","1","1"
"57081","1","1","1"
"57488","-1","-1","-1"
"57895","0","0","0"
"58282","-2","-2","-2"
"58689","1","1","1"
"59096","1","1","1"
"59503","1","1","1"
"59910","1","1","1"
"60165","0","0","0"
"60354","2","2","2"
"60761","1","1","1"
"61168","1","1","1"
"61575","-1","-1","-1"
"61880","2","2","2"
"62287","1","1","1"
"62694","1","1","1"
"63101","1","1","1"
"63508","0","0","0"
"63761","2","2","2"
"64168","1","1","1"
"64575","1","1","1"
"64982","0","0","0"
"65389","-1","-1","-1"
"65796","-1","-1","-1"
"66203","1","1","1"
"66610","1","1","1"
"66761","2","2","2"
"66896","-2","-2","-2"
"67303","1","1","1"
"67638","2","2","2"
"68045","-1","-1","-1"
"68212","2","2","2"
"68513","0","0","0"
"68920","1","1","1"
"69327","1","1","1"
"69546","2","2","2"
"69613","2","2","2"
"69798","2","2","2"
"69901","2","2","2"
"70012","2","2","2"
"70111","2","2","2"
"70518","1","1","1"
"70663","2","2","2"
"71070","0","0","0"
"71143","2","2","2"
"71436","2","2","2"
"71509","2","2","2"
"71614","2","2","2"
"71711","2","2","2"
"72118","1","1","1"
"72187","2","2","2"
"72428","2","2","2"
"72835","-1","-1","-1"
"73022","2","2","2"
"73429","-1","-1","-1"
"73468","2","2","2"
"73875","1","1","1"
"73934","2","2","2"
"74043","2","2","2"
"74120","2","2","2"
"74189","2","2","2"
"74240","2","2","2"
"74285","2","2","2"
"74376","2","2","2"
"74601","2","2","2"
"74690","2","2","2"
"74819","2","2","2"
"74948","1","1","1"
"75355","1","1","1"
"75762","-1","-1","-1"
"75839","2","2","2"
"75912","2","2","2"
"76157","-3","-3","-3"
"76242","2","2","2"
"76349","2","2","2"
"76728","2","2","2"
"76887","2","2","2"
"77248","2","2","2"
"77337","2","2","2"
"77744","-2","-2","-2"
"78055","2","2","2"
"78218","2","2","2"
"78435","2","2","2"
"78842","1","1","1"
"79049","2","2","2"
"79456","1","1","1"
"79863","1","1","1"
"80270","1","1","1"
"80641","-2","-2","-2"
"80900","2","2","2"
"81211","2","2","2"
"81618","1","1","1"
"81835","2","2","2"
"82118","2","2","2"
"82525","1","1","1"
"82932","1","1","1"
"83339","1","1","1"
"83746","0","0","0"