"Step","SimpleQMIX_CNN_baseline_blox_basic__20241211_153139 - score","SimpleQMIX_CNN_baseline_blox_basic__20241211_153139 - score__MIN","SimpleQMIX_CNN_baseline_blox_basic__20241211_153139 - score__MAX"
"184","-37","-37","-37"
"277","-37","-37","-37"
"370","-37","-37","-37"
"471","-37","-37","-37"
"576","-37","-37","-37"
"663","-37","-37","-37"
"828","-37","-37","-37"
"917","-37","-37","-37"
"1010","-37","-37","-37"
"1099","-37","-37","-37"
"1190","-37","-37","-37"
"1289","-37","-37","-37"
"1390","-37","-37","-37"
"1481","-37","-37","-37"
"1584","-37","-37","-37"
"1687","-37","-37","-37"
"1780","-37","-37","-37"
"1885","-37","-37","-37"
"2014","-37","-37","-37"
"2250","-37","-37","-37"
"2343","-37","-37","-37"
"2518","-37","-37","-37"
"2625","-37","-37","-37"
"2722","-37","-37","-37"
"2860","-37","-37","-37"
"3068","-37","-37","-37"
"3173","-37","-37","-37"
"3280","-37","-37","-37"
"3385","-37","-37","-37"
"3479","-37","-37","-37"
"3581","-37","-37","-37"
"3787","-37","-37","-37"
"3956","-37","-37","-37"
"4049","-37","-37","-37"
"4157","-37","-37","-37"
"4305","-37","-37","-37"
"4392","-37","-37","-37"
"4493","-37","-37","-37"
"4584","-37","-37","-37"
"4671","-37","-37","-37"
"4759","-37","-37","-37"
"4860","-37","-37","-37"
"4949","-37","-37","-37"
"5038","-37","-37","-37"
"5129","-37","-37","-37"
"5218","-37","-37","-37"
"5309","-37","-37","-37"
"5464","-37","-37","-37"
"5561","-37","-37","-37"
"5666","-37","-37","-37"
"5754","-27","-27","-27"
"5907","-37","-37","-37"
"5997","-37","-37","-37"
"6087","-37","-37","-37"
"6178","-37","-37","-37"
"6279","-37","-37","-37"
"6445","-37","-37","-37"
"6546","-37","-37","-37"
"6649","-37","-37","-37"
"6906","-37","-37","-37"
"7007","-37","-37","-37"
"7112","-37","-37","-37"
"7213","-37","-37","-37"
"7312","-37","-37","-37"
"7415","-37","-37","-37"
"7532","-37","-37","-37"
"7635","-37","-37","-37"
"7941","0","0","0"
"8044","-37","-37","-37"
"8149","-37","-37","-37"
"8287","-37","-37","-37"
"8392","-37","-37","-37"
"8487","-37","-37","-37"
"8578","-37","-37","-37"
"8884","0","0","0"
"9061","-37","-37","-37"
"9242","-37","-37","-37"
"9329","-37","-37","-37"
"9635","0","0","0"
"9828","-37","-37","-37"
"10134","0","0","0"
"10287","-37","-37","-37"
"10384","-37","-37","-37"
"10690","0","0","0"
"10852","-37","-37","-37"
"10959","-37","-37","-37"
"11049","-37","-37","-37"
"11154","-37","-37","-37"
"11242","-37","-37","-37"
"11339","-37","-37","-37"
"11429","-37","-37","-37"
"11536","-37","-37","-37"
"11622","-37","-37","-37"
"11721","-37","-37","-37"
"12027","0","0","0"
"12132","-37","-37","-37"
"12223","-37","-37","-37"
"12529","0","0","0"
"12835","0","0","0"
"12923","-37","-37","-37"