"Step","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - blue_player1_reward","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - blue_player1_reward__MIN","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - blue_player1_reward__MAX"
"94","1.640000000000001","1.640000000000001","1.640000000000001"
"183","1.4700000000000009","1.4700000000000009","1.4700000000000009"
"278","1.430000000000001","1.430000000000001","1.430000000000001"
"380","1.690000000000001","1.690000000000001","1.690000000000001"
"484","1.690000000000001","1.690000000000001","1.690000000000001"
"570","1.2400000000000009","1.2400000000000009","1.2400000000000009"
"662","1.4500000000000008","1.4500000000000008","1.4500000000000008"
"754","1.4300000000000008","1.4300000000000008","1.4300000000000008"
"846","1.4800000000000009","1.4800000000000009","1.4800000000000009"
"934","1.3600000000000008","1.3600000000000008","1.3600000000000008"
"1036","1.6200000000000012","1.6200000000000012","1.6200000000000012"
"1138","1.6200000000000012","1.6200000000000012","1.6200000000000012"
"1230","1.3300000000000007","1.3300000000000007","1.3300000000000007"
"1332","1.530000000000001","1.530000000000001","1.530000000000001"
"1420","1.3300000000000007","1.3300000000000007","1.3300000000000007"
"1506","1.1400000000000006","1.1400000000000006","1.1400000000000006"
"1771","9.44999999999994","9.44999999999994","9.44999999999994"
"1938","3.3299999999999934","3.3299999999999934","3.3299999999999934"
"2227","8.549999999999939","8.549999999999939","8.549999999999939"
"2321","1.4300000000000008","1.4300000000000008","1.4300000000000008"
"2488","2.7399999999999998","2.7399999999999998","2.7399999999999998"
"2580","1.540000000000001","1.540000000000001","1.540000000000001"
"2680","1.630000000000001","1.630000000000001","1.630000000000001"
"2774","1.4700000000000009","1.4700000000000009","1.4700000000000009"
"2872","1.5700000000000012","1.5700000000000012","1.5700000000000012"
"2966","1.3700000000000008","1.3700000000000008","1.3700000000000008"
"3058","1.2800000000000007","1.2800000000000007","1.2800000000000007"
"3160","1.4100000000000008","1.4100000000000008","1.4100000000000008"
"3258","1.670000000000001","1.670000000000001","1.670000000000001"
"3350","1.280000000000001","1.280000000000001","1.280000000000001"
"3514","3.879999999999994","3.879999999999994","3.879999999999994"
"3606","1.3600000000000008","1.3600000000000008","1.3600000000000008"
"3843","6.539999999999958","6.539999999999958","6.539999999999958"
"3949","1.7900000000000011","1.7900000000000011","1.7900000000000011"
"4039","1.390000000000001","1.390000000000001","1.390000000000001"
"4129","1.4400000000000008","1.4400000000000008","1.4400000000000008"
"4221","1.4900000000000009","1.4900000000000009","1.4900000000000009"
"4323","1.560000000000001","1.560000000000001","1.560000000000001"
"4630","8.599999999999952","8.599999999999952","8.599999999999952"
"4734","1.5000000000000009","1.5000000000000009","1.5000000000000009"
"4828","1.590000000000001","1.590000000000001","1.590000000000001"
"4922","1.470000000000001","1.470000000000001","1.470000000000001"
"5024","1.660000000000001","1.660000000000001","1.660000000000001"
"5126","1.720000000000001","1.720000000000001","1.720000000000001"
"5230","1.7900000000000014","1.7900000000000014","1.7900000000000014"
"5537","10.109999999999937","10.109999999999937","10.109999999999937"
"5632","1.550000000000001","1.550000000000001","1.550000000000001"
"5736","1.6600000000000013","1.6600000000000013","1.6600000000000013"
"5840","1.7100000000000013","1.7100000000000013","1.7100000000000013"
"5931","1.4900000000000009","1.4900000000000009","1.4900000000000009"
"6033","1.710000000000001","1.710000000000001","1.710000000000001"
"6137","1.750000000000001","1.750000000000001","1.750000000000001"
"6271","3.5499999999999985","3.5499999999999985","3.5499999999999985"
"6375","1.690000000000001","1.690000000000001","1.690000000000001"
"6475","1.540000000000001","1.540000000000001","1.540000000000001"
"6626","3.9399999999999995","3.9399999999999995","3.9399999999999995"
"6933","8.079999999999945","8.079999999999945","8.079999999999945"
"7144","5.909999999999972","5.909999999999972","5.909999999999972"
"7248","1.8100000000000012","1.8100000000000012","1.8100000000000012"
"7343","1.5100000000000011","1.5100000000000011","1.5100000000000011"
"7447","1.570000000000001","1.570000000000001","1.570000000000001"
"7549","1.7600000000000011","1.7600000000000011","1.7600000000000011"
"7643","1.3300000000000007","1.3300000000000007","1.3300000000000007"
"7731","1.4000000000000008","1.4000000000000008","1.4000000000000008"
"7819","1.3900000000000008","1.3900000000000008","1.3900000000000008"
"7921","1.4100000000000008","1.4100000000000008","1.4100000000000008"
"8228","8.32999999999995","8.32999999999995","8.32999999999995"
"8328","1.6400000000000012","1.6400000000000012","1.6400000000000012"
"8428","1.700000000000001","1.700000000000001","1.700000000000001"
"8735","9.979999999999936","9.979999999999936","9.979999999999936"
"8826","1.2300000000000006","1.2300000000000006","1.2300000000000006"
"8918","1.3000000000000007","1.3000000000000007","1.3000000000000007"
"9135","6.069999999999964","6.069999999999964","6.069999999999964"
"9231","1.660000000000001","1.660000000000001","1.660000000000001"
"9340","1.730000000000001","1.730000000000001","1.730000000000001"
"9433","1.560000000000001","1.560000000000001","1.560000000000001"
"9525","1.600000000000001","1.600000000000001","1.600000000000001"
"9694","4.209999999999995","4.209999999999995","4.209999999999995"
"9802","1.730000000000001","1.730000000000001","1.730000000000001"
"10005","5.509999999999964","5.509999999999964","5.509999999999964"
"10098","1.5500000000000012","1.5500000000000012","1.5500000000000012"
"10196","1.4600000000000009","1.4600000000000009","1.4600000000000009"
"10288","1.4700000000000009","1.4700000000000009","1.4700000000000009"
"10390","1.6400000000000012","1.6400000000000012","1.6400000000000012"
"10492","1.270000000000001","1.270000000000001","1.270000000000001"
"10590","1.370000000000001","1.370000000000001","1.370000000000001"
"10736","3.599999999999996","3.599999999999996","3.599999999999996"
"10842","1.500000000000001","1.500000000000001","1.500000000000001"
"10934","1.5100000000000011","1.5100000000000011","1.5100000000000011"
"11038","1.5800000000000012","1.5800000000000012","1.5800000000000012"
"11126","1.540000000000001","1.540000000000001","1.540000000000001"
"11271","2.3999999999999972","2.3999999999999972","2.3999999999999972"
"11470","3.2999999999999994","3.2999999999999994","3.2999999999999994"
"11560","1.3000000000000007","1.3000000000000007","1.3000000000000007"
"11651","1.410000000000001","1.410000000000001","1.410000000000001"
"11889","6.169999999999958","6.169999999999958","6.169999999999958"
"11989","1.7300000000000013","1.7300000000000013","1.7300000000000013"
"12093","1.7700000000000014","1.7700000000000014","1.7700000000000014"
"12400","8.62999999999994","8.62999999999994","8.62999999999994"
"12500","1.660000000000001","1.660000000000001","1.660000000000001"