"Step","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - score","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - score__MIN","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - score__MAX"
"275","0","0","0"
"582","0","0","0"
"889","1","1","1"
"1196","0","0","0"
"1503","-1","-1","-1"
"1810","0","0","0"
"2117","1","1","1"
"2424","-5","-5","-5"
"2731","0","0","0"
"3038","0","0","0"
"3345","0","0","0"
"3652","-4","-4","-4"
"3959","0","0","0"
"4266","0","0","0"
"4573","0","0","0"
"4880","0","0","0"
"5187","0","0","0"
"5494","0","0","0"
"5801","0","0","0"
"6108","0","0","0"
"6415","0","0","0"
"6722","-11","-11","-11"
"7029","0","0","0"
"7336","-1","-1","-1"
"7643","0","0","0"
"7950","0","0","0"
"8257","0","0","0"
"8564","0","0","0"
"8871","0","0","0"
"9178","-4","-4","-4"
"9485","0","0","0"
"9792","0","0","0"
"10099","0","0","0"
"10406","0","0","0"
"10713","-10","-10","-10"
"11020","0","0","0"
"11327","0","0","0"
"11634","1","1","1"
"11941","0","0","0"
"12248","0","0","0"
"12555","-2","-2","-2"
"12862","-1","-1","-1"
"13169","0","0","0"
"13476","0","0","0"
"13783","-1","-1","-1"
"14090","0","0","0"
"14397","0","0","0"
"14704","-2","-2","-2"
"15011","-3","-3","-3"
"15318","0","0","0"
"15625","1","1","1"
"15932","0","0","0"
"16239","0","0","0"
"16546","0","0","0"
"16853","-4","-4","-4"
"17160","0","0","0"
"17467","-14","-14","-14"
"17774","0","0","0"
"18081","0","0","0"
"18388","1","1","1"
"18695","10","10","10"
"19002","-2","-2","-2"
"19309","0","0","0"
"19616","11","11","11"
"19923","0","0","0"
"20230","0","0","0"
"20537","-14","-14","-14"
"20844","4","4","4"
"21151","6","6","6"
"21458","4","4","4"
"21765","10","10","10"
"22072","-3","-3","-3"
"22379","6","6","6"
"22686","0","0","0"
"22993","1","1","1"
"23300","0","0","0"
"23607","-21","-21","-21"
"23914","0","0","0"
"24221","1","1","1"
"24528","0","0","0"
"24835","-5","-5","-5"
"25142","0","0","0"
"25449","0","0","0"
"25756","0","0","0"
"26063","-4","-4","-4"
"26370","4","4","4"
"26677","0","0","0"
"26984","0","0","0"
"27291","0","0","0"
"27598","0","0","0"
"27905","0","0","0"
"28212","0","0","0"
"28519","-15","-15","-15"
"28826","6","6","6"
"29133","0","0","0"
"29440","1","1","1"
"29747","0","0","0"
"30054","6","6","6"
"30361","1","1","1"
"30668","-4","-4","-4"
"30975","7","7","7"
"31282","5","5","5"
"31589","-9","-9","-9"
"31896","-13","-13","-13"
"32203","0","0","0"
"32510","0","0","0"
"32817","0","0","0"
"33124","0","0","0"
"33431","-5","-5","-5"
"33738","0","0","0"
"34045","0","0","0"
"34352","-4","-4","-4"
"34659","0","0","0"
"34966","0","0","0"
"35273","0","0","0"
"35580","-4","-4","-4"
"35887","0","0","0"
"36194","-3","-3","-3"
"36501","0","0","0"
"36808","-7","-7","-7"
"37115","0","0","0"
"37422","-1","-1","-1"
"37729","0","0","0"
"38036","-9","-9","-9"
"38343","-1","-1","-1"
"38650","-10","-10","-10"
"38957","-11","-11","-11"
"39264","0","0","0"
"39571","0","0","0"
"39878","0","0","0"
"40185","0","0","0"
"40492","-12","-12","-12"
"40799","0","0","0"
"41106","-1","-1","-1"
"41413","0","0","0"
"41720","0","0","0"
"42027","0","0","0"
"42334","0","0","0"
"42641","0","0","0"
"42948","0","0","0"
"43255","0","0","0"
"43562","-1","-1","-1"
"43869","1","1","1"
"44176","0","0","0"
"44483","2","2","2"
"44790","2","2","2"
"45097","0","0","0"
"45404","0","0","0"
"45711","5","5","5"
"46018","7","7","7"
"46325","4","4","4"
"46632","0","0","0"
"46939","-1","-1","-1"
"47246","2","2","2"
"47553","-9","-9","-9"
"47860","4","4","4"
"48167","0","0","0"
"48474","3","3","3"
"48781","0","0","0"
"49088","0","0","0"
"49395","6","6","6"
"49702","0","0","0"
"50009","13","13","13"
"50316","2","2","2"
"50623","0","0","0"
"50930","10","10","10"
"51237","2","2","2"
"51544","0","0","0"
"51851","7","7","7"
"52158","1","1","1"
"52465","0","0","0"
"52772","0","0","0"
"53079","7","7","7"
"53386","0","0","0"
"53693","1","1","1"
"54000","1","1","1"
"54307","3","3","3"
"54614","-5","-5","-5"
"54921","10","10","10"
"55228","6","6","6"
"55535","3","3","3"
"55842","1","1","1"
"56149","-3","-3","-3"
"56456","-12","-12","-12"
"56763","5","5","5"
"57070","2","2","2"
"57377","-3","-3","-3"
"57684","-12","-12","-12"
"57991","0","0","0"
"58298","-7","-7","-7"
"58605","-7","-7","-7"
"58912","-2","-2","-2"
"59219","0","0","0"
"59526","0","0","0"
"59833","-11","-11","-11"
"60140","0","0","0"
"60447","5","5","5"
"60754","0","0","0"
"61061","3","3","3"
"61368","0","0","0"
"61675","0","0","0"
"61982","0","0","0"
"62289","-11","-11","-11"
"62596","-1","-1","-1"
"62903","0","0","0"
"63210","-13","-13","-13"
"63517","-1","-1","-1"
"63824","0","0","0"
"64131","0","0","0"
"64438","-1","-1","-1"
"64745","0","0","0"
"65052","-8","-8","-8"
"65359","0","0","0"
"65666","0","0","0"
"65973","0","0","0"
"66280","-1","-1","-1"
"66587","0","0","0"
"66894","0","0","0"
"67201","0","0","0"
"67508","0","0","0"
"67815","0","0","0"
"68122","0","0","0"
"68429","0","0","0"
"68736","2","2","2"
"69043","0","0","0"
"69350","0","0","0"
"69657","0","0","0"
"69964","-2","-2","-2"
"70271","0","0","0"
"70578","-8","-8","-8"
"70885","0","0","0"
"71192","0","0","0"
"71499","0","0","0"
"71806","0","0","0"
"72113","-4","-4","-4"
"72420","0","0","0"
"72727","-1","-1","-1"
"73034","0","0","0"
"73341","0","0","0"
"73648","-1","-1","-1"
"73955","0","0","0"
"74262","-5","-5","-5"
"74569","0","0","0"
"74876","0","0","0"
"75183","0","0","0"
"75490","0","0","0"
"75797","0","0","0"
"76104","-5","-5","-5"
"76411","0","0","0"
"76718","0","0","0"
"77025","0","0","0"
"77332","0","0","0"
"77639","-8","-8","-8"
"77946","-4","-4","-4"
"78253","-3","-3","-3"
"78560","0","0","0"
"78867","0","0","0"
"79174","0","0","0"
"79481","0","0","0"
"79788","0","0","0"
"80095","0","0","0"
"80402","-12","-12","-12"
"80709","0","0","0"
"81016","0","0","0"
"81323","0","0","0"
"81630","0","0","0"
"81937","0","0","0"
"82244","0","0","0"
"82551","-1","-1","-1"
"82858","0","0","0"
"83165","0","0","0"
"83472","0","0","0"
"83779","-22","-22","-22"
"84086","-2","-2","-2"
"84393","-4","-4","-4"
"84700","0","0","0"
"85007","0","0","0"
"85314","0","0","0"
"85621","0","0","0"
"85928","0","0","0"
"86235","0","0","0"
"86542","0","0","0"
"86849","0","0","0"
"87156","-1","-1","-1"
"87463","0","0","0"
"87770","0","0","0"
"88077","0","0","0"
"88384","0","0","0"
"88691","0","0","0"
"88998","0","0","0"
"89305","0","0","0"
"89612","0","0","0"
"89919","-8","-8","-8"
"90226","0","0","0"
"90533","0","0","0"
"90840","-4","-4","-4"
"91147","-1","-1","-1"
"91454","0","0","0"
"91761","0","0","0"
"92068","0","0","0"